svc-web	https://picsum.photos/seed/svc-web/1600/1000	picsum/unsplash	unsplash
svc-seo	https://cdn.stocksnap.io/img-thumbs/960w/9699Y6WKLD.jpg	Serpstat	cc0
svc-ads	https://picsum.photos/seed/svc-ads/1600/1000	picsum/unsplash	unsplash
svc-ai	https://picsum.photos/seed/svc-ai/1600/1000	picsum/unsplash	unsplash
ins-1	https://images.rawpixel.com/image_1300/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZmw1MDUzNDc5MDE1My1wdWJsaWMtaW1hZ2Uta293c2dxMncuanBn.jpg	U.S. Department of Agriculture	cc0
ins-2	https://picsum.photos/seed/ins-2/1600/1000	picsum/unsplash	unsplash
ins-3	https://cdn.stocksnap.io/img-thumbs/960w/XDAR6MIG75.jpg	Direct Media	cc0
chip-a	https://cdn.stocksnap.io/img-thumbs/960w/THXU08ODDE.jpg	Afta Putta Gunawan	cc0
chip-b	https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcHg3NzI4MDQtaW1hZ2Uta3d5b200a3MuanBn.jpg		cc0
